Cancer;[18-23 [;23-28 [;28-33 [;33-38 [;38-43 [;43-48 [;48-53 [;53-58 [;58-63 [;63-68 [;68-73 [;73-78 [;78-83 [;83-88 [;88-93 [;93 et +;Total
Digestif bas;4;11;16;41;51;145;248;460;736;1032;1149;944;949;808;333;84;7011
Digestif haut;1;3;5;14;28;69;124;190;240;359;371;292;253;173;80;30;2232
Glioblastome;4;8;12;17;23;52;64;100;114;169;137;80;54;38;10;1;883
Gynécologique;3;12;23;45;67;145;197;306;389;543;578;440;441;253;118;20;3580
Lymphome;14;29;39;35;43;61;99;123;181;260;281;285;291;251;82;18;2093
Mélanome;0;1;2;8;10;29;30;39;45;57;81;81;71;67;20;9;550
Myélome;14;10;18;23;43;73;91;135;207;295;342;300;268;185;64;12;2080
ORL;0;5;10;10;20;54;104;245;342;315;264;149;114;83;24;7;1746
Pancréas;1;2;1;12;38;76;148;214;388;541;594;492;395;220;94;21;3237
Poumon;1;3;17;35;102;260;540;905;1371;1595;1338;908;758;369;116;21;8339
Prostate;0;0;0;0;0;5;15;73;169;327;405;327;284;221;101;32;1959
Sein;0;5;16;73;115;191;280;340;405;490;517;363;396;293;104;26;3614
Testicule;8;18;35;33;33;34;17;14;6;6;4;1;2;2;0;0;213
Urothélial;0;1;2;9;11;37;65;111;218;404;467;465;509;374;182;46;2901
